Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
518649,21807,WHITE CHRISTMAS STAR DECORATION,36,2010-08-10 13:01:00,0.42,13501.0,Switzerland
504426,71053,WHITE METAL LANTERN,24,2010-04-13 13:21:00,3.39,16779.0,United Kingdom
542393,21889,WOODEN BOX OF DOMINOES,1,2011-01-27 15:02:00,1.25,18125.0,United Kingdom
496978,20829,GLITTER HANGING BUTTERFLY STRING,8,2010-02-05 09:53:00,2.1,15326.0,United Kingdom
556510,84692,BOX OF 24 COCKTAIL PARASOLS,25,2011-06-13 10:36:00,0.42,14911.0,EIRE
559547,21174,POTTERING IN THE SHED METAL SIGN,2,2011-07-10 15:12:00,2.08,17758.0,United Kingdom
492226,90212B,JET BLACK LAS VEGAS BRACELET ROUND,1,2009-12-15 18:33:00,3.9,,United Kingdom
566734,22961,JAM MAKING SET PRINTED,1,2011-09-14 14:09:00,1.45,16910.0,United Kingdom
526754,21463,MIRRORED DISCO BALL ,1,2010-10-13 10:17:00,5.95,17604.0,United Kingdom
525236,21116,OWL DOORSTOP,2,2010-10-04 14:31:00,8.47,,United Kingdom
525959,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,2010-10-07 19:51:00,2.95,16111.0,United Kingdom
503823,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2010-04-07 14:59:00,1.28,,United Kingdom
574720,22189,CREAM HEART CARD HOLDER,2,2011-11-06 14:39:00,3.95,14547.0,United Kingdom
543306,22439,6 ROCKET BALLOONS ,1,2011-02-07 11:56:00,0.65,16686.0,United Kingdom
551339,22109,FULL ENGLISH BREAKFAST PLATE,1,2011-04-27 17:18:00,7.46,,United Kingdom
569319,22731,3D CHRISTMAS STAMPS STICKERS ,18,2011-10-03 12:17:00,1.25,14290.0,United Kingdom
570230,22339,CHRISTMAS TREE PAINTED ZINC ,1,2011-10-09 13:41:00,0.19,18088.0,United Kingdom
509937,22176,BLUE OWL SOFT TOY,6,2010-05-26 12:39:00,2.95,14186.0,United Kingdom
574909,22899,CHILDREN'S APRON DOLLY GIRL ,2,2011-11-07 15:40:00,2.1,13673.0,United Kingdom
516892,21314,SMALL GLASS HEART TRINKET POT,2,2010-07-23 15:09:00,4.21,,United Kingdom
550033,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-04-14 11:45:00,0.85,15005.0,United Kingdom
504834,84991,60 TEATIME FAIRY CAKE CASES,24,2010-04-16 14:00:00,0.55,16094.0,United Kingdom
515406,22344,PARTY PIZZA DISH PINK RETROSPOT,3,2010-07-12 11:59:00,0.85,14159.0,United Kingdom
561371,22629,SPACEBOY LUNCH BOX ,1,2011-07-26 16:25:00,4.13,,United Kingdom
C490942,85172,HYACINTH BULB T-LIGHT CANDLES,-16,2009-12-08 14:04:00,0.42,14337.0,United Kingdom
523508,21291,SMALL SPOTTY CHOCOLATE GIFT BAG ,3,2010-09-22 12:13:00,1.66,,United Kingdom
561615,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-07-28 12:57:00,1.25,13319.0,United Kingdom
518977,16052,TEATIME PUSH DOWN RUBBER,24,2010-08-12 16:27:00,0.42,15581.0,United Kingdom
578255,20983,12 PENCILS TALL TUBE RED RETROSPOT,3,2011-11-23 12:58:00,0.85,14675.0,United Kingdom
565748,22847,BREAD BIN DINER STYLE IVORY,16,2011-09-06 12:38:00,14.95,14156.0,EIRE
574871,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-11-07 12:56:00,7.95,14527.0,United Kingdom
517225,16156S,WRAP PINK FAIRY CAKES ,25,2010-07-27 12:47:00,0.42,15614.0,United Kingdom
515290,21240,BLUE  SPOTTY CUP,8,2010-07-09 15:11:00,0.85,13485.0,United Kingdom
537362,22203,MILK PAN RED RETROSPOT,1,2010-12-06 12:34:00,3.75,17596.0,United Kingdom
520193,84569C,PACK 4 FLOWER/BUTTERFLY PATCHES,1,2010-08-24 14:47:00,2.51,,United Kingdom
557630,22380,TOY TIDY SPACEBOY  ,5,2011-06-21 14:53:00,2.1,13178.0,United Kingdom
549548,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-04-10 11:35:00,1.65,13548.0,United Kingdom
533374,22636,CHILDS BREAKFAST SET CIRCUS PARADE,3,2010-11-17 10:34:00,8.5,14049.0,United Kingdom
531843,21175,GIN + TONIC DIET METAL SIGN,1,2010-11-10 09:34:00,4.21,,United Kingdom
512124,22302,COFFEE MUG PEARS  DESIGN,6,2010-06-13 16:00:00,2.55,,United Kingdom
550206,22502,PICNIC BASKET WICKER SMALL,3,2011-04-15 10:38:00,8.29,,United Kingdom
556341,21165,BEWARE OF THE CAT METAL SIGN ,12,2011-06-10 11:36:00,1.69,16614.0,United Kingdom
537638,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,2010-12-07 15:28:00,8.47,,United Kingdom
526410,22641,SET OF 4 NAPKIN CHARMS INSTRUMENT,12,2010-10-11 13:59:00,2.55,16735.0,United Kingdom
516164,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2010-07-18 12:19:00,1.25,15151.0,United Kingdom
566085,21448,12 DAISY PEGS IN WOOD BOX,1,2011-09-09 10:12:00,1.65,17841.0,United Kingdom
571653,23367,SET 12 COLOUR PENCILS SPACEBOY ,24,2011-10-18 12:17:00,0.55,14298.0,United Kingdom
576617,23245,SET OF 3 REGENCY CAKE TINS,1,2011-11-15 16:57:00,10.79,,United Kingdom
558501,22193,RED DINER WALL CLOCK,2,2011-06-30 10:19:00,8.5,13871.0,United Kingdom
495385,84869,CANDY BUTTON PHOTO ALBUM,12,2010-01-24 14:30:00,1.95,13209.0,United Kingdom
537034,20676,RED RETROSPOT BOWL,8,2010-12-03 17:20:00,1.25,13081.0,United Kingdom
532010,21479,WHITE SKULL HOT WATER BOTTLE ,1,2010-11-10 12:42:00,3.75,17321.0,United Kingdom
560853,16008,SMALL FOLDING SCISSOR(POINTED EDGE),12,2011-07-21 12:33:00,0.12,15311.0,United Kingdom
558614,20996,JAZZ HEARTS ADDRESS BOOK,3,2011-06-30 15:56:00,0.42,,United Kingdom
564835,22382,LUNCH BAG SPACEBOY DESIGN ,1,2011-08-30 12:31:00,4.13,,United Kingdom
494381,21256,"FRENCH BOTTLE, BRASSERIE DES ARTIST",2,2010-01-13 17:44:00,3.36,,United Kingdom
512282,21786,RAIN HAT WITH RED SPOTS,24,2010-06-14 14:06:00,0.42,14911.0,EIRE
566573,22823,test,-22,2011-09-13 13:10:00,0.0,,United Kingdom
550636,85094,CANDY SPOT EGG WARMER RABBIT,1,2011-04-19 15:37:00,0.83,,United Kingdom
562031,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-08-01 17:37:00,1.65,16984.0,United Kingdom
573122,23582,VINTAGE DOILY JUMBO BAG RED ,1,2011-10-27 16:23:00,2.08,14357.0,United Kingdom
498159,84279P, CHERRY BLOSSOM  DECORATIVE FLASK,4,2010-02-17 11:49:00,3.75,17646.0,United Kingdom
530657,21327,SKULLS WRITING SET ,2,2010-11-04 10:13:00,1.65,12933.0,United Kingdom
574289,22999,TRAVEL CARD WALLET VINTAGE LEAF,24,2011-11-03 15:16:00,0.42,17750.0,United Kingdom
516314,21988,PACK OF 6 SKULL PAPER PLATES,12,2010-07-19 14:31:00,0.85,12826.0,United Kingdom
540040,85169C,EAU DE NIL LOVE BIRD CANDLE,24,2011-01-04 14:20:00,0.42,12483.0,Sweden
C493861,79340W,WHITE ORCHID FLOWER LIGHTS,-1,2010-01-07 16:19:00,6.75,13767.0,United Kingdom
569691,23202,JUMBO BAG VINTAGE LEAF,10,2011-10-05 15:09:00,2.08,18223.0,United Kingdom
541104,21930,JUMBO STORAGE BAG SKULLS,2,2011-01-13 14:29:00,4.13,,United Kingdom
558475,22663,JUMBO BAG DOLLY GIRL DESIGN,20,2011-06-29 15:58:00,2.46,,United Kingdom
569629,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,12,2011-10-05 11:37:00,0.79,15249.0,United Kingdom
571248,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2011-10-14 16:05:00,6.95,15826.0,United Kingdom
513056,22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,10,2010-06-21 13:52:00,0.85,13334.0,United Kingdom
575199,23254,CHILDRENS CUTLERY DOLLY GIRL ,8,2011-11-09 09:48:00,4.15,12921.0,United Kingdom
567473,23300,GARDENERS KNEELING PAD CUP OF TEA ,2,2011-09-20 12:50:00,1.65,17841.0,United Kingdom
534658,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,1,2010-11-23 13:36:00,0.85,18118.0,United Kingdom
515406,20974,12 PENCILS SMALL TUBE SKULL,4,2010-07-12 11:59:00,0.65,14159.0,United Kingdom
507178,20723,STRAWBERRY CHARLOTTE BAG,100,2010-05-06 15:17:00,0.72,14646.0,Netherlands
501482,22507,MEMO BOARD RETROSPOT  DESIGN,16,2010-03-17 10:16:00,4.25,13935.0,United Kingdom
552884,22727,ALARM CLOCK BAKELIKE RED ,4,2011-05-12 10:15:00,3.75,12395.0,Belgium
545039,47567B,TEA TIME KITCHEN APRON,1,2011-02-27 10:22:00,5.95,17243.0,United Kingdom
525981,22386,JUMBO BAG PINK POLKADOT,10,2010-10-08 11:02:00,1.95,13001.0,United Kingdom
541282,22052,VINTAGE CARAVAN GIFT WRAP,25,2011-01-17 12:31:00,0.42,17690.0,United Kingdom
518764,22588,CARD HOLDER GINGHAM HEART,12,2010-08-11 14:27:00,2.55,13089.0,United Kingdom
505719,22354,RETROSPOT PADDED SEAT CUSHION,4,2010-04-25 13:28:00,3.75,17550.0,United Kingdom
550821,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-04-21 08:54:00,2.1,12506.0,France
558996,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-07-05 12:11:00,4.95,13085.0,United Kingdom
537265,84509B,SET OF 4 FAIRY CAKE PLACEMATS,2,2010-12-06 11:26:00,3.75,15919.0,United Kingdom
539160,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-12-16 11:43:00,0.85,16746.0,United Kingdom
523838,22089,PAPER BUNTING VINTAGE PAISLEY,6,2010-09-24 12:08:00,2.95,14934.0,Channel Islands
489598,21122,SET/10 PINK SPOTTY PARTY CANDLES,24,2009-12-01 14:35:00,1.25,16620.0,United Kingdom
500449,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,1,2010-03-08 12:08:00,0.85,17542.0,United Kingdom
503340,21746,SMALL RED RETROSPOT WINDMILL,2,2010-03-31 12:52:00,1.25,13059.0,United Kingdom
533348,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-11-17 09:22:00,21.23,,United Kingdom
502534,84461,12 PINK HEN+CHICKS IN BASKET,2,2010-03-25 11:32:00,2.55,15547.0,United Kingdom
529718,22035,VINTAGE CARAVAN GREETING CARD ,1,2010-10-29 13:44:00,0.42,,United Kingdom
579471,85049a,TRADITIONAL CHRISTMAS RIBBONS,1,2011-11-29 15:08:00,3.29,,United Kingdom
511522,22066,LOVE HEART TRINKET POT,4,2010-06-08 16:47:00,1.45,16072.0,United Kingdom
545895,22663,JUMBO BAG DOLLY GIRL DESIGN,1,2011-03-07 17:14:00,4.13,,United Kingdom
531489,46776F,WOVEN ROSE GARDEN CUSHION COVER ,1,2010-11-08 15:02:00,4.21,,United Kingdom
529727,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2010-10-29 14:12:00,1.66,,United Kingdom
496443,22297,HEART IVORY TRELLIS SMALL,24,2010-02-01 13:45:00,1.25,13156.0,United Kingdom
519721,84880,WHITE WIRE EGG HOLDER,1,2010-08-19 16:28:00,5.95,14606.0,United Kingdom
516590,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-07-21 13:47:00,0.85,15005.0,United Kingdom
531843,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2,2010-11-10 09:34:00,5.06,,United Kingdom
516884,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2010-07-23 14:15:00,2.1,15311.0,United Kingdom
562718,22668,PINK BABY BUNTING,5,2011-08-08 16:07:00,2.95,18241.0,United Kingdom
500091,21911,GARDEN METAL SIGN ,1,2010-03-04 12:06:00,3.36,,United Kingdom
580541,23350,ROLL WRAP VINTAGE SPOT ,12,2011-12-05 09:03:00,1.25,15358.0,United Kingdom
491970,85099B,JUMBO BAG RED WHITE SPOTTY ,1,2009-12-14 18:03:00,4.3,,United Kingdom
500575,21215,IVORY PAPER CUP CAKE CASES ,1,2010-03-08 16:53:00,1.28,,United Kingdom
513016,22087,PAPER BUNTING WHITE LACE,6,2010-06-21 11:38:00,2.95,15039.0,United Kingdom
538473,85150,LADIES & GENTLEMEN METAL SIGN,12,2010-12-12 12:35:00,2.55,13668.0,United Kingdom
550279,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-04-15 13:16:00,8.5,14700.0,United Kingdom
518205,21936,RED RETROSPOT PICNIC BAG,10,2010-08-05 11:39:00,2.95,13093.0,United Kingdom
573269,22138,BAKING SET 9 PIECE RETROSPOT ,2,2011-10-28 13:00:00,4.95,16764.0,United Kingdom
491247,21904,HOUSE WRECKING METAL SIGN ,24,2009-12-10 14:57:00,0.85,14626.0,United Kingdom
552311,22189,CREAM HEART CARD HOLDER,12,2011-05-08 15:22:00,3.95,15312.0,United Kingdom
518406,22386,JUMBO BAG PINK WITH WHITE SPOTS,4,2010-08-08 14:26:00,1.95,17802.0,United Kingdom
557123,20981,12 PENCILS TALL TUBE WOODLAND,1,2011-06-16 17:56:00,0.85,15555.0,United Kingdom
533133,22619,SET OF 6 SOLDIER SKITTLES,1,2010-11-16 12:50:00,3.75,15850.0,United Kingdom
509235,85099F,JUMBO BAG STRAWBERRY,4,2010-05-21 11:01:00,1.95,15898.0,United Kingdom
506264,84033,FLAG OF ST GEORGE ,20,2010-04-28 14:53:00,1.65,13715.0,United Kingdom
500462,21688,SILVER PLATE CANDLE BOWL SMALL,1,2010-03-08 12:40:00,5.91,,United Kingdom
546108,79063C,"RETRO PILL BOX KEY CHAIN,THE KING",20,2011-03-09 12:35:00,0.19,15529.0,United Kingdom
491971,15034,PAPER POCKET TRAVELING FAN ,4,2009-12-14 18:37:00,0.83,,United Kingdom
572058,22232,JIGSAW TOADSTOOLS 3 PIECE,1,2011-10-20 12:43:00,0.59,18252.0,United Kingdom
516932,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2010-07-25 13:02:00,0.85,18064.0,United Kingdom
554861,POST,POSTAGE,5,2011-05-27 10:29:00,18.0,12633.0,Germany
539708,21352,EUCALYPTUS & PINECONE  WREATH,1,2010-12-21 12:18:00,5.91,,United Kingdom
524180,21535,RED RETROSPOT SMALL MILK JUG,6,2010-09-27 16:46:00,2.55,17280.0,United Kingdom
537743,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4,2010-12-08 11:02:00,3.75,17706.0,United Kingdom
573501,21164,HOME SWEET HOME METAL SIGN ,4,2011-10-31 12:02:00,2.95,18055.0,United Kingdom
510119,21523,DOOR MAT FANCY FONT HOME SWEET HOME,1,2010-05-27 12:03:00,7.49,15719.0,United Kingdom
511684,22355,CHARLOTTE BAG SUKI DESIGN,20,2010-06-09 15:24:00,0.85,16186.0,United Kingdom
562581,23046,PAPER LANTERN 9 POINT DELUXE STAR,3,2011-08-07 13:43:00,6.65,15860.0,United Kingdom
534830,22966,GINGERBREAD MAN COOKIE CUTTER,12,2010-11-24 13:01:00,1.25,17315.0,United Kingdom
574561,22124,SET OF 2 TEA TOWELS PING MICROWAVE,1,2011-11-04 15:52:00,2.46,,United Kingdom
527951,22601,CHRISTMAS RETROSPOT ANGEL WOOD,1,2010-10-19 15:36:00,1.66,,United Kingdom
521148,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-09-02 13:27:00,1.45,16065.0,United Kingdom
565767,21213,PACK OF 72 SKULL CAKE CASES,13,2011-09-06 14:28:00,2.08,,United Kingdom
546117,22021,BLUE FELT EASTER EGG BASKET,3,2011-03-09 13:56:00,1.65,16771.0,United Kingdom
557283,22311,OFFICE MUG WARMER BLACK+SILVER ,1,2011-06-19 12:26:00,2.95,16813.0,United Kingdom
527890,20969,RED FLORAL FELTCRAFT SHOULDER BAG,4,2010-10-19 12:15:00,3.75,17365.0,United Kingdom
532188,22571,ROCKING HORSE RED CHRISTMAS ,12,2010-11-11 12:26:00,0.85,17423.0,United Kingdom
536544,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,1,2010-12-01 14:32:00,2.51,,United Kingdom
529837,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,2010-10-31 12:34:00,2.95,16784.0,United Kingdom
509407,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-05-23 11:45:00,0.95,12974.0,United Kingdom
576927,22580,ADVENT CALENDAR GINGHAM SACK,3,2011-11-17 11:02:00,5.95,12567.0,France
522913,22983,"CARD, BILLBOARD FONT",12,2010-09-17 13:52:00,0.42,15026.0,United Kingdom
532642,90188,DROP EARRINGS W FLOWER & LEAF,1,2010-11-12 17:00:00,2.54,,United Kingdom
513594,21042,RED SPOTTY APRON ,1,2010-06-27 10:54:00,5.95,16782.0,United Kingdom
521168,22470,HEART OF WICKER LARGE,5,2010-09-02 15:05:00,2.95,16161.0,United Kingdom
548703,47567B,TEA TIME KITCHEN APRON,1,2011-04-03 11:37:00,5.95,16010.0,United Kingdom
498107,21930,JUMBO STORAGE BAG SKULLS,10,2010-02-16 13:57:00,1.95,15078.0,United Kingdom
496977,21671,RED SPOT CERAMIC DRAWER KNOB,12,2010-02-05 09:49:00,1.25,13823.0,United Kingdom
511960,16235,RECYCLED PENCIL WITH RABBIT ERASER,12,2010-06-11 13:23:00,0.21,14727.0,United Kingdom
539742,22301,COFFEE MUG CAT + BIRD DESIGN,1,2010-12-21 15:20:00,5.06,,United Kingdom
561033,22469,HEART OF WICKER SMALL,12,2011-07-24 11:40:00,1.65,14443.0,United Kingdom
554808,22664,TOY TIDY DOLLY GIRL DESIGN,1,2011-05-26 13:01:00,2.1,17059.0,United Kingdom
C555196,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,-1,2011-06-01 11:40:00,3.75,14606.0,United Kingdom
506445,21986,PACK OF 12 PINK SPOT TISSUES ,1,2010-04-29 17:01:00,0.81,,United Kingdom
C538376,22892,SET OF SALT AND PEPPER TOADSTOOLS,-12,2010-12-12 11:21:00,1.25,16393.0,United Kingdom
538653,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,36,2010-12-13 15:12:00,0.85,13089.0,United Kingdom
575843,23507,MINI PLAYING CARDS BUFFALO BILL ,1,2011-11-11 12:02:00,0.42,14446.0,United Kingdom
545649,22251,BIRDHOUSE DECORATION MAGIC GARDEN,1,2011-03-04 13:14:00,1.25,14995.0,United Kingdom
554099,22562,MONSTERS STENCIL CRAFT,12,2011-05-22 13:20:00,1.25,16341.0,United Kingdom
572243,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-10-21 15:43:00,3.75,17361.0,United Kingdom
514505,21065,BOOM BOX SPEAKER GIRLS,1,2010-07-04 11:40:00,5.95,17201.0,United Kingdom
548712,22358,KINGS CHOICE TEA CADDY ,4,2011-04-03 14:42:00,2.95,17050.0,United Kingdom
563248,22676,FRENCH BLUE METAL DOOR SIGN 1,3,2011-08-15 11:30:00,1.25,14702.0,United Kingdom
C494270,21563,RED HEART SHAPE LOVE BUCKET ,-6,2010-01-13 09:23:00,2.55,13410.0,United Kingdom
505657,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-04-23 14:38:00,1.25,13126.0,United Kingdom
511233,20718,RED SPOTTY SHOPPER BAG,10,2010-06-07 12:29:00,1.25,15640.0,United Kingdom
574048,23013,GLASS APOTHECARY BOTTLE TONIC,4,2011-11-02 13:37:00,3.95,13769.0,United Kingdom
575318,23350,ROLL WRAP VINTAGE SPOT ,12,2011-11-09 13:17:00,1.25,14921.0,United Kingdom
505976,22508,DOORSTOP RETROSPOT HEART,4,2010-04-27 08:58:00,3.75,14625.0,United Kingdom
498027,21218,RED SPOTTY BISCUIT TIN,6,2010-02-16 08:44:00,3.75,17644.0,United Kingdom
509972,35971,ROSE FOLKART HEART DECORATIONS,1,2010-05-26 13:34:00,2.51,,United Kingdom
561391,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-07-27 09:59:00,0.85,16628.0,United Kingdom
515287,22659,LUNCH BOX I LOVE LONDON,1,2010-07-09 14:58:00,4.21,,United Kingdom
581327,23391, I LOVE LONDON MINI BACKPACK,4,2011-12-08 11:56:00,4.15,15187.0,United Kingdom
574901,48194,DOORMAT HEARTS,2,2011-11-07 15:15:00,8.25,17158.0,United Kingdom
506163,48138,DOOR MAT UNION FLAG,20,2010-04-28 09:18:00,6.35,15498.0,United Kingdom
C544831,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,-4,2011-02-24 10:01:00,0.85,15146.0,United Kingdom
509865,22427,ENAMEL FLOWER JUG CREAM,3,2010-05-26 10:29:00,5.95,16844.0,United Kingdom
494015,20616,CHERRY BLOSSOM PASSPORT COVER,1,2010-01-11 09:34:00,1.7,,United Kingdom
560298,20963,APPLE BATH SPONGE,1,2011-07-18 10:26:00,2.46,,United Kingdom
556087,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-08 15:24:00,16.63,,United Kingdom
530540,85099B,JUMBO BAG RED RETROSPOT,10,2010-11-03 13:05:00,1.95,12793.0,Portugal
525755,21758,VINTAGE SHELLS PRINT,1,2010-10-07 10:23:00,12.72,,United Kingdom
537400,22095,LADS ONLY TISSUE BOX,4,2010-12-06 14:36:00,1.25,17191.0,United Kingdom
559133,21718,RED METAL BEACH SPADE ,5,2011-07-06 13:13:00,1.25,17861.0,United Kingdom
542998,21164,HOME SWEET HOME METAL SIGN ,1,2011-02-02 12:16:00,5.79,,United Kingdom
507472,85099B,RED RETROSPOT JUMBO BAG ,2,2010-05-10 11:20:00,1.95,17003.0,United Kingdom
524125,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,12,2010-09-27 14:20:00,0.85,15382.0,United Kingdom
525564,22494,EMERGENCY FIRST AID TIN ,12,2010-10-06 08:17:00,1.25,13055.0,United Kingdom
490059,20679,EDWARDIAN PARASOL RED,600,2009-12-03 13:30:00,3.0,18102.0,United Kingdom
571062,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,3,2011-10-13 14:37:00,1.25,16773.0,United Kingdom
525720,22121,NOEL WOODEN BLOCK LETTERS ,2,2010-10-06 14:52:00,5.95,17045.0,United Kingdom
550203,22297,HEART IVORY TRELLIS SMALL,1,2011-04-15 10:37:00,2.46,,United Kingdom
572887,20679,EDWARDIAN PARASOL RED,6,2011-10-26 13:47:00,5.95,12362.0,Belgium
534645,22694,WICKER STAR ,4,2010-11-23 13:07:00,2.1,15719.0,United Kingdom
512924,22198,LARGE POPCORN HOLDER ,200,2010-06-20 10:47:00,1.45,14156.0,EIRE
529799,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,2010-10-31 10:03:00,2.55,16756.0,United Kingdom
575305,22602,RETROSPOT WOODEN HEART DECORATION,12,2011-11-09 12:45:00,0.85,14188.0,United Kingdom
546088,22853,CAT BOWL VINTAGE CREAM,6,2011-03-09 11:44:00,3.25,12881.0,United Kingdom
558196,23094,LE GRAND TRAY CHIC SET,1,2011-06-27 12:38:00,12.5,16033.0,United Kingdom
563364,21625,VINTAGE UNION JACK APRON,6,2011-08-16 08:39:00,6.95,14466.0,United Kingdom
